# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
3725.83387963491,30.2674999237061,4.14784955978394,4.14784955978394,65552
3726.69188336747,34.9217987060547,4.10470485687256,4.10470485687256,65552
3727.55008468544,22.613899230957,3.98528170585632,3.98528170585632,65552
3728.40848363432,27.3575992584229,4.02725219726563,4.02725219726563,65552
3729.26708025961,29.6847991943359,4.07788753509521,4.07788753509521,65552
3730.12587460685,29.6590003967285,4.05337619781494,4.05337619781494,65552
3730.98486672156,32.4952011108398,4.0582127571106,4.0582127571106,65552
3731.8440566493,33.3022003173828,3.97986507415771,3.97986507415771,65552
3732.70344443559,25.1184997558594,3.80218505859375,3.80218505859375,65552
3733.56303012603,20.9943008422852,3.70209932327271,3.70209932327271,65552
3734.42281376617,22.0515995025635,3.73066020011902,3.73066020011902,65552
3735.28279540161,17.868200302124,3.61085438728333,3.61085438728333,65552
3736.14297507793,17.4829006195068,3.65316200256348,3.65316200256348,65552
3737.00335284075,22.6049995422363,3.7072651386261,3.7072651386261,65552
3737.86392873568,22.9094009399414,3.72845816612244,3.72845816612244,65552
3738.72470280835,21.7294998168945,3.67436289787292,3.67436289787292,65552
3739.5856751044,23.1532001495361,3.64458727836609,3.64458727836609,65552
3740.44684566947,30.9692001342773,3.71980667114258,3.71980667114258,65552
3741.30821454921,28.0923004150391,3.64107060432434,3.64107060432434,65552
3742.16978178931,17.0683994293213,3.4410719871521,3.4410719871521,65552
3743.03154743544,19.138599395752,3.48398637771606,3.48398637771606,65552
3743.89351153329,24.3041000366211,3.60608983039856,3.60608983039856,65552
3744.75567412856,23.1609992980957,3.65010190010071,3.65010190010071,65552
3745.61803526696,17.3022994995117,3.56222367286682,3.56222367286682,65552
3746.48059499422,15.3070001602173,3.56265997886658,3.56265997886658,65552
3747.34335335605,20.0676002502441,3.54228162765503,3.54228162765503,65552
3748.20631039822,23.7003993988037,3.62508058547974,3.62508058547974,65552
3749.06946616646,16.8453998565674,3.43023800849915,3.43023800849915,65552
3749.93282070655,17.3971996307373,3.38552665710449,3.38552665710449,65552
3750.79637406426,20.5550994873047,3.54153084754944,3.54153084754944,65552
3751.66012628537,22.2059001922607,3.54098010063171,3.54098010063171,65552
3752.52407741568,25.9596004486084,3.62581920623779,3.62581920623779,65552
3753.38822750099,33.527099609375,3.70538640022278,3.70538640022278,65552
