# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
7280.66011289882,26.1590995788574,0.456969857215881,0.456969857215881,0
7282.33674692496,26.0252990722656,0.472335934638977,0.472335934638977,0
7284.01376705297,26.1455001831055,0.483659327030182,0.483659327030182,0
7285.69117337178,26.3857002258301,0.462583392858505,0.462583392858505,0
7287.36896597032,26.0821990966797,0.449042230844498,0.449042230844498,0
7289.04714493755,25.9615001678467,0.453413814306259,0.453413814306259,0
7290.72571036244,26.3917007446289,0.461451709270477,0.461451709270477,0
7292.40466233399,26.1485004425049,0.460279017686844,0.460279017686844,0
7294.0840009412,26.5948009490967,0.464605957269669,0.464605957269669,0
7295.76372627314,26.8334007263184,0.464110344648361,0.464110344648361,0
7297.44383841884,26.4801998138428,0.463256478309631,0.463256478309631,0
7299.12433746739,26.1156997680664,0.464891046285629,0.464891046285629,0
7300.80522350787,26.2798004150391,0.464929729700089,0.464929729700089,0
7302.48649662943,26.5828990936279,0.472328037023544,0.472328037023544,0
7304.16815692119,26.6147003173828,0.469494938850403,0.469494938850403,0
7305.85020447231,26.5965995788574,0.470261096954346,0.470261096954346,0
7307.53263937198,26.2569999694824,0.472466677427292,0.472466677427292,0
7309.21546170939,26.0823001861572,0.483030915260315,0.483030915260315,0
7310.89867157377,26.6599006652832,0.478775888681412,0.478775888681412,0
7312.58226905435,27.4514999389648,0.482037156820297,0.482037156820297,0
7314.26625424041,27.2693996429443,0.492380887269974,0.492380887269974,0
7315.95062722122,27.1282005310059,0.498093456029892,0.498093456029892,0
7317.63538808609,26.4514999389648,0.507787585258484,0.507787585258484,0
7319.32053692434,26.8526992797852,0.511057555675507,0.511057555675507,0
7321.00607382533,28.589599609375,0.51575380563736,0.51575380563736,0
7322.6919988784,27.8167991638184,0.50980281829834,0.50980281829834,0
7324.37831217296,26.2609004974365,0.500304043292999,0.500304043292999,0
7326.0650137984,27.5419998168945,0.510471880435944,0.510471880435944,0
7327.75210384417,27.2856998443604,0.510478556156158,0.510478556156158,0
7329.43958239968,26.5480995178223,0.505548536777496,0.505548536777496,0
7331.12744955443,27.6189994812012,0.500320315361023,0.500320315361023,0
7332.8157053979,27.1308002471924,0.490959376096725,0.490959376096725,0
